text,label,topic
"We had a wonderful dining experience at Parker’s. The food was absolutely delicious, and every dish exceeded our expectations. What truly made our visit special was the exceptional service. A special thank you to Liberty, who was incredibly kind, attentive, and professional throughout our meal. We also want to recognize the supervisor in charge for leading such an outstanding team. The entire staff was welcoming, friendly, and always smiling. They paid attention to every detail—clearing away finished plates immediately, serving the food beautifully onto our plates, pouring our drinks, and even bringing me a cushion as soon as I requested one. Their level of care and hospitality made us feel genuinely valued. Everyone worked together seamlessly with great professionalism and dedication. This team truly deserves recognition and a reward for their outstanding service. Thank you for making our visit so memorable. We will definitely be back!",positive,Service
"A lovely place to relax after shopping! 🛍️✨ My mum and I stopped by for dessert and drinks, and we had such a wonderful experience. The service was warm and welcoming, and we’d especially like to thank Julius and Hakeem for their kindness and excellent hospitality. They made our shopping break even more enjoyable. Highly recommended! 💛",positive,Service
"The ingredients at Parker’s seem decent, but the whole experience feels seriously overpriced for what you actually get. • Kale salad: Barely anything but kale. Very plain, feels more like a garnish than a proper salad, especially at their price point. • Truffle pasta: Genuinely delicious – rich, flavorful, and the highlight of the meal. We asked for extra chicken, but they added so little it felt more symbolic than actual “extra.” • Dessert (“pull me” cake): More of a social-media show than a good dessert. Overly sweet and not as tasty as the dramatic presentation suggests – it’s mainly for recording a video, not for enjoying every bite. • Coffee: Not great in terms of taste/beans, but it is at least prepared well. Technically fine, just not memorable. • Service & ambience: Service is okay – functional but not warm or special. The plates and cutlery are fancy and look premium, but we didn’t come here to eat those. That polish doesn’t fully compensate for the underwhelming food value. Overall, Parker’s looks upscale and tries to impress with presentation and “Instagram moments,” but when you factor in price versus what’s on the plate, it feels overvalued.",negative,Price
"We had an incredible breakfast at Parker’s this morning! The atmosphere was bright and welcoming, making it the perfect spot to start the day. The food was the absolute highlight—the French Omelette was cooked to perfection, and the Pancakes were light, fluffy, and delicious. We also tried the Eggs Benedict, which was beautifully presented and flavored. Everything was paired with refreshing Orange Juice and hot Tea that hit the spot. If you’re looking for a high-quality breakfast with great vibes, this is the place to be. We’ll definitely be back",positive,Food
"We went for the Matilda cske and it fid not disappoint. It was light, chocolatey and the sauce was delicious. We shared 1 piece between 3 of us and it was enough. We will visit again.",positive,Food
"Great experience! The sweet and coffee were absolutely delicious, but what made it even better was the amazing service. Huge thanks to Hakim—he was incredibly helpful, friendly, and had a wonderful attitude. Will definitely come back",positive,Service
"The food was amazing! We ordered the club sandwich, karak, and iced Americano, and everything tasted delicious. What I liked the most was the iced Americano — it wasn’t fruity or sour at all, which I really appreciated. Julius was also very kind and sweet. He served us during our visit and was very attentive. He even noticed whenever my friend’s karak was almost finished and would come to refill it without us having to ask. Such a small detail, but it really showed how hardworking and attentive he is. Overall, we had a lovely experience and would definitely come back! 🤍",positive,Service
We were lucky that we skipped all other restaurants. Food was better than expected. Chicken lemon is top. Thanks to Ms. Liberty and other staff for the amazing service.,positive,Food
"Steak Sando: 7/10 Hotel Burger: 9/10 Lime Hot Pasta: 8/10 Street Fries: 7/10 ** Paul was very friendly and helpful, and his attitude was great and cheerful.",positive,Food
Nice food but I'd say a bit overpriced. Paul was so nice and patient while we go though the whole menu trying to figure out what to have 🤓 the chicken strips in the appetizers was nice and the beetroot salad.,negative,Price
"A beautiful restaurant with well-presented dishes. Everything we ordered was genuinely delicious. I was especially impressed by the shrimp pasta—I expected it to have a strong seafood taste, but it turned out surprisingly flavorful and well-balanced. As for the chicken burger, in my opinion, it’s one of the best in the country. Highly recommended.",positive,Food
